obs,datetime
0.21,2008-10-10
0.0,2008-11-10
0.0,2008-12-10
0.0,2008-10-13
0.0,2008-10-14
0.0,2008-10-15
0.0,2008-10-16
0.0,2008-10-17
0.0,2008-10-18
0.0,2008-10-19
0.0,2008-10-20
0.0,2008-10-21
0.0,2008-10-22
0.0,2008-10-23
0.0,2008-10-24
0.0,2008-10-25
0.0,2008-10-26
0.0,2008-10-27
0.0,2008-10-28
0.0,2008-10-29
0.0,2008-10-30
0.0,2008-10-31
0.0,2008-01-11
0.0,2008-02-11
0.0,2008-03-11
0.0,2008-04-11
0.0,2008-05-11
0.0,2008-06-11
0.0,2008-07-11
0.0,2008-08-11
0.0,2008-09-11
0.0,2008-10-11
0.0,2008-11-11
0.0,2008-12-11
0.0,2008-11-13
0.0,2008-11-14
0.0,2008-11-15
0.0,2008-11-16
0.0,2008-11-17
0.0,2008-11-18
0.0,2008-11-19
0.0,2008-11-20
0.0,2008-11-21
0.0,2008-11-22
0.0,2008-11-23
0.0,2008-11-24
0.0,2008-11-26
0.0,2008-11-27
0.0,2008-11-28
0.0,2008-11-29
0.0,2008-11-30
0.0,2008-01-12
0.0,2008-02-12
0.0,2008-03-12
0.0,2008-04-12
0.0,2008-05-12
0.0,2008-06-12
0.0,2008-07-12
0.0,2008-08-12
0.0,2008-09-12
0.0,2008-10-12
0.0,2008-11-12
0.0,2008-12-12
0.0,2008-12-13
0.0,2008-12-14
0.0,2008-12-15
0.0,2008-12-16
0.0,2008-12-17
0.0,2008-12-18
0.0,2008-12-19
0.0,2008-12-20
0.0,2008-12-21
0.0,2008-12-22
0.0,2008-12-23
0.0,2008-12-24
0.0,2008-12-25
0.0,2008-12-26
0.0,2008-12-27
0.0,2008-12-28
0.0,2008-12-29
0.0,2008-12-30
0.0,2008-12-31
0.0,2009-01-01
0.0,2009-02-01
0.0,2009-03-01
0.0,2009-04-01
0.0,2009-05-01
0.0,2009-06-01
0.0,2009-07-01
0.0,2009-08-01
0.0,2009-09-01
0.0,2009-10-01
0.0,2009-11-01
0.0,2009-12-01
0.0,2009-01-13
0.0,2009-01-14
0.0,2009-01-15
0.0,2009-01-16
0.0,2009-01-17
0.0,2009-01-18
0.0,2009-01-19
0.0,2009-01-20
0.0,2009-01-21
0.0,2009-01-22
0.0,2009-01-23
0.0,2009-01-24
0.0,2009-01-25
0.0,2009-01-26
0.0,2009-01-27
0.0,2009-01-28
0.0,2009-01-29
0.0,2009-01-30
0.0,2009-01-31
0.0,2009-01-02
0.0,2009-02-02
0.0,2009-03-02
0.0,2009-04-02
0.0,2009-05-02
0.0,2009-06-02
0.0,2009-07-02
0.0,2009-08-02
0.0,2009-09-02
0.0,2009-10-02
0.0,2009-11-02
0.0,2009-12-02
0.0,2009-02-13
0.0,2009-02-14
0.0,2009-02-15
0.0,2009-02-16
0.0,2009-02-17
0.0,2009-02-18
0.0,2009-02-19
0.0,2009-02-20
0.0,2009-02-21
0.0,2009-02-22
0.0,2009-02-23
0.0,2009-02-24
0.0,2009-02-25
0.0,2009-02-26
0.0,2009-02-27
0.0,2009-02-28
0.0,2009-01-03
0.0,2009-02-03
0.0,2009-03-03
0.0,2009-04-03
0.0,2009-05-03
0.0,2009-06-03
0.0,2009-07-03
0.0,2009-08-03
0.0,2009-09-03
0.0,2009-10-03
0.0,2009-11-03
0.0,2009-12-03
0.0,2009-03-13
0.0,2009-03-14
0.0,2009-03-15
0.0,2009-03-16
0.0,2009-03-17
0.0,2009-03-18
0.0,2009-03-19
0.0,2009-03-20
0.0,2009-03-21
0.0,2009-03-22
0.0,2009-03-23
0.0,2009-03-24
0.0,2009-03-25
1.0,2009-03-26
0.0,2009-03-27
0.0,2009-03-28
0.0,2009-03-29
0.0,2009-03-30
0.0,2009-03-31
0.0,2009-01-04
0.0,2009-02-04
0.0,2009-03-04
0.0,2009-04-04
0.0,2009-05-04
0.0,2009-06-04
0.0,2009-07-04
0.0,2009-08-04
0.0,2009-09-04
0.0,2009-10-04
0.0,2009-11-04
0.0,2009-12-04
0.0,2009-04-13
0.0,2009-04-14
0.0,2009-04-15
0.0,2009-04-16
0.0,2009-04-17
0.0,2009-04-18
0.0,2009-04-19
0.0,2009-04-20
0.0,2009-04-21
0.0,2009-04-22
0.0,2009-04-23
0.0,2009-04-24
0.0,2009-04-25
0.0,2009-04-26
0.0,2009-04-27
0.0,2009-04-28
0.0,2009-04-29
0.0,2009-04-30
0.0,2009-01-05
0.0,2009-02-05
0.0,2009-03-05
0.0,2009-04-05
1.0,2009-05-05
0.0,2009-06-05
0.0,2009-07-05
0.0,2009-08-05
0.0,2009-09-05
0.0,2009-10-05
0.0,2009-11-05
0.0,2009-12-05
0.0,2009-05-13
0.0,2009-05-14
0.0,2009-05-15
0.0,2009-05-16
0.0,2009-05-17
